yil,isletmemudurluk,isletmeseflik,adet,hektar
2019,AYDIN,didim,0,0
2019,FETHIYE,esenn,0,0
2019,FETHIYE,fethiye,14,2.67
2019,FETHIYE,gocek,3,2.05
2019,FETHIYE,guneydag,3,2.05
2019,FETHIYE,uzumlu,1,0.1
2019,FETHIYE,caldagi,1,0.1
2019,FETHIYE,karaculha,7,3.87
2019,KOYCEGIZ,agla,2,0.2
2019,KOYCEGIZ,akkopru,1,0.1
2019,KOYCEGIZ,beyobasi,6,1.5
2019,KOYCEGIZ,karacam,10,0.46
2019,KOYCEGIZ,koycegiz,5,1.5
2019,KOYCEGIZ,sultaniye,10,1.9
2019,KOYCEGIZ,balcilar,1,0.5
2019,KOYCEGIZ,cayhisar,1,0.1
2019,KOYCEGIZ,otmanlar,4,0.41
2019,MARMARIS,bayir,1,0.01
2019,MARMARIS,cetibeli,3,9.82
2019,MARMARIS,datca,3,21.61
2019,MARMARIS,hisaronu,3,2.61
2019,MARMARIS,marmaris,11,0.59
2019,MARMARIS,emecik,0,0
2019,MARMARIS,karaca,0,0
2019,MILAS,bodrum,2,2.6
2019,MILAS,karacahisar,14,20.1
2019,MILAS,kayadere,2,0.3
2019,MILAS,milas,5,38.77
2019,MILAS,oren,5,1.46
2019,MILAS,saricay,7,6.1
2019,MILAS,selimiye,1,0.01
2019,MILAS,gürcamlar,2,10.02
2019,MILAS,mumcular,3,183.377
2019,MILAS,cökertme,1,0.2
2019,MILAS,guvercinlik,0,0
2019,MILAS,labranda,2,49.21
2019,MILAS,bafa,0,0
2019,MILAS,yali,0,0
2019,MUGLA,denizova,4,0.33
2019,MUGLA,gokova,3,0.42
2019,MUGLA,mugla,4,0.13
2019,MUGLA,yaras,5,0.32
2019,MUGLA,yerkesik,4,1.16
2019,MUGLA,ula,2,0.11
2019,MUGLA,karabortlen,4,0.43
2019,MUGLA,yesilyurt,2,0.02
2019,NAZILLI,bozdogan,3,0.44
2019,NAZILLI,karacasu,0,0
2019,NAZILLI,karincalidag,5,1.8
2019,NAZILLI,kemerbaraji,8,2.11
2019,NAZILLI,kuyucak,1,0.2
2019,NAZILLI,nazilli,1,0.04
2019,NAZILLI,saricaova,2,1.8
2019,NAZILLI,yenice,2,1.1
2019,NAZILLI,yenipazar,2,1.4
2019,NAZILLI,bozbey,1,0.2
2019,NAZILLI,kartal,0,0
2019,NAZILLI,karlik,0,0
2019,NAZILLI,menderes,2,0.6
2019,NAZILLI,bozyaka,0,0
2019,YATAGAN,bagyaka,6,0.19
2019,YATAGAN,mentescayi,4,1.58
2019,YATAGAN,turgut,2,0.21
2019,YATAGAN,yatagan1,1,0.02
2019,YATAGAN,kavak,3,0.52
2019,YATAGAN,bencik,3,0.04
2019,YILANLI,boyali,0,0
2019,YILANLI,goktepe,2,1.1
2019,YILANLI,yilanli,1,0.01
2019,YILANLI,muratlar,3,0.45
2019,YILANLI,senyayla,1,6
2019,YILANLI,cakmak,2,0.04
2019,YILANLI,yorukoglu,0,0
2019,YILANLI,namnam,2,0.02
2019,YILANLI,cinar,4,0.23
2019,YILANLI,kizilkaya,2,0.02
2019,KAVAKLIDERE,belibol,2,0.02
2019,KAVAKLIDERE,gokcay,1,1
2019,KAVAKLIDERE,kavaklidere,3,1.07
2019,KAVAKLIDERE,mentese,2,0.02
2019,KAVAKLIDERE,cayboyu,2,0.03
2019,DALAMAN,bahtiyar,6,0.16
2019,DALAMAN,caldere,3,0.14
2019,DALAMAN,dalaman,7,380.33
2019,DALAMAN,ortaca,14,16.2
2019,DALAMAN,kavacik,2,0.21
2019,DALAMAN,narli,0,0
2019,SEYDIKEMER,yapraktepe,3,0.21
2019,SEYDIKEMER,kemer,0,0
2019,SEYDIKEMER,seki,0,0
2019,SEYDIKEMER,saklikent,5,161
2019,SEYDIKEMER,esen,3,0.4
2019,SEYDIKEMER,akcay,2,0.3
2019,SEYDIKEMER,pasali,30.9
2019,SEYDIKEMER,karadere,6,1
2019,SEYDIKEMER,seydikemer,0,0
2020,AYDIN,akcaova,3,50.06
2020,AYDIN,aydin,1,0.5
2020,AYDIN,cine,1,0.05
2020,AYDIN,germencik,2,9.3
2020,AYDIN,karpuzlu,0,0
2020,AYDIN,kocarli,2,0.7
2020,AYDIN,kusadasi,1,0.2
2020,AYDIN,soke,5,231.45
2020,AYDIN,kosk,5,6.76
2020,AYDIN,madran,3,3.31
2020,AYDIN,didim,0,0
2020,FETHIYE,esenn,0,0
2020,FETHIYE,fethiye,12,1.22
2020,FETHIYE,gocek,2,0.22
2020,FETHIYE,guneydag,0,0
2020,FETHIYE,uzumlu,1,0.3
2020,FETHIYE,caldagi,1,0.1
2020,FETHIYE,karaculha,0,0
2020,KOYCEGIZ,agla,3,0.12
2020,KOYCEGIZ,akkopru,2,0.03
2020,KOYCEGIZ,beyobasi,3,0.07
2020,KOYCEGIZ,karacam,6,0.15
2020,KOYCEGIZ,koycegiz,2,0.13
2020,KOYCEGIZ,sultaniye,0,0
2020,KOYCEGIZ,balcilar,0,0
2020,KOYCEGIZ,cayhisar,0,0
2020,KOYCEGIZ,otmanlar,11,3.86
2020,MARMARIS,bayir,1,0.0001
2020,MARMARIS,cetibeli,3,0.05
2020,MARMARIS,datca,4,0.97
2020,MARMARIS,hisaronu,10,0.12
2020,MARMARIS,marmaris,9,0.78
2020,MARMARIS,emecik,0,0
2020,MARMARIS,karaca,4,0.41
2020,MILAS,bodrum,3,0.08
2020,MILAS,karacahisar,8,9.97
2020,MILAS,kayadere,3,1.3
2020,MILAS,milas,2,0.11
2020,MILAS,oren,0,0
2020,MILAS,saricay,6,3.14
2020,MILAS,selimiye,3,109.01
2020,MILAS,gürcamlar,1,0.01
2020,MILAS,mumcular,5,1.02
2020,MILAS,cökertme,2,1.74
2020,MILAS,guvercinlik,8,104.61
2020,MILAS,labranda,3,0.03
2020,MILAS,bafa,0,0
2020,MILAS,yali,0,0
2020,MUGLA,denizova,0,0
2020,MUGLA,gokova,6,1.02
2020,MUGLA,mugla,5,0.18
2020,MUGLA,yaras,8,0.87
2020,MUGLA,yerkesik,6,0.52
2020,MUGLA,ula,0,0
2020,MUGLA,karabortlen,0,0
2020,MUGLA,yesilyurt,3,0.03
2020,NAZILLI,bozdogan,5,10.75
2020,NAZILLI,karacasu,1,0.1
2020,NAZILLI,karincalidag,0,0
2020,NAZILLI,kemerbaraji,10,2.9
2020,NAZILLI,kuyucak,3,0.76
2020,NAZILLI,nazilli,3,3.87
2020,NAZILLI,saricaova,0,0
2020,NAZILLI,yenice,2,1.1
2020,NAZILLI,yenipazar,4,1.89
2020,NAZILLI,bozbey,5,10.72
2020,NAZILLI,kartal,4,0.9
2020,NAZILLI,karlik,6,0.22
2020,NAZILLI,menderes,0,0
2020,NAZILLI,bozyaka,3,0.57
2020,YATAGAN,bagyaka,9,9.79
2020,YATAGAN,mentescayi,0,0
2020,YATAGAN,turgut,5,175.21
2020,YATAGAN,yatagan,3,0.33
2020,YATAGAN,kavak,1,0.4
2020,YATAGAN,bencik,3,0.41
2020,YILANLI,boyali,3,0.03
2020,YILANLI,goktepe,1,0.01
2020,YILANLI,yilanli,0,0
2020,YILANLI,muratlar,3,0.08
2020,YILANLI,senyayla,4,0.08
2020,YILANLI,cakmak,5,1.18
2020,YILANLI,yorukoglu,0,0
2020,YILANLI,namnam,1,0.05
2020,YILANLI,cinar,3,0.07
2020,YILANLI,kizilkaya,3,0.16
2020,KAVAKLIDERE,belibol,1,1
2020,KAVAKLIDERE,gokcay,2,1.2
2020,KAVAKLIDERE,kavaklidere,5,2.74
2020,KAVAKLIDERE,mentese,3,0.3
2020,KAVAKLIDERE,cayboyu,2,4.2
2020,DALAMAN,bahtiyar,1,0.01
2020,DALAMAN,caldere,3,0.13
2020,DALAMAN,dalaman,7,4.43
2020,DALAMAN,ortaca,4,1.22
2020,DALAMAN,kavacik,5,0.54
2020,DALAMAN,narli,2,0.6
2020,SEYDIKEMER,yapraktepe,1,0.01
2020,SEYDIKEMER,kemer,0,0
2020,SEYDIKEMER,seki,3,2.6
2020,SEYDIKEMER,saklikent,4,0.37
2020,SEYDIKEMER,esen,5,12.51
2020,SEYDIKEMER,akcay,2,0.3
2020,SEYDIKEMER,pasali,3,1.1
2020,SEYDIKEMER,karadere,13,14.74
2020,SEYDIKEMER,seydikemer,4,1.2
2021,AYDIN,akcaova,4,866.2
2021,AYDIN,aydin,1,0.5
2021,AYDIN,cine,0,0
2021,AYDIN,germencik,4,9.07
2021,AYDIN,karpuzlu,3,9.1
2021,AYDIN,kocarli,2,0.9
2021,AYDIN,kusadasi,1,0.3
2021,AYDIN,soke,6,9.1
2021,AYDIN,kosk,1,0.4
2021,AYDIN,madran,2,0.11
2021,AYDIN,didim,0,0
2021,FETHIYE,esenn,0,0
2021,FETHIYE,fethiye,4,16.37
2021,FETHIYE,gocek,3,0.51
2021,FETHIYE,guneydag,4,0.1
2021,FETHIYE,uzumlu,8,0.5
2021,FETHIYE,caldagi,2,0.2
2021,FETHIYE,karaculha,2,0.53
2021,KOYCEGIZ,agla,1,0
2021,KOYCEGIZ,akkopru,1,0
2021,KOYCEGIZ,beyobasi,1,0
2021,KOYCEGIZ,karacam,5,2.62
2021,KOYCEGIZ,koycegiz,3,10737.16
2021,KOYCEGIZ,sultaniye,7,2.45
2021,KOYCEGIZ,balcilar,1,2.7
2021,KOYCEGIZ,cayhisar,2,0.5
2021,KOYCEGIZ,otmanlar,6,0.26
2021,MARMARIS,bayir,0,0
2021,MARMARIS,cetibeli,1,0
2021,MARMARIS,datca,3,0.45
2021,MARMARIS,hisaronu,8,0.1
2021,MARMARIS,marmaris,11,9101.537
2021,MARMARIS,emecik,1,0.01
2021,MARMARIS,karaca,2,0.02
2021,MILAS,bodrum,3,87.2
2021,MILAS,karacahisar,5,12767.12
2021,MILAS,kayadere,5,0.09
2021,MILAS,milas,2,0.01
2021,MILAS,oren,1,1.9
2021,MILAS,saricay,2,0.41
2021,MILAS,selimiye,5,1.68
2021,MILAS,gürcamlar,2,158.43
2021,MILAS,mumcular,1,0.002
2021,MILAS,cökertme,4,24.71
2021,MILAS,guvercinlik,10,146.1
2021,MILAS,labranda,1,0.52
2021,MILAS,bafa,1,1.2
2021,MILAS,yali,2,7.02
2021,MUGLA,denizova,3,1.01
2021,MUGLA,gokova,3,0.57
2021,MUGLA,mugla,3,4852.31
2021,MUGLA,yaras,5,0.34
2021,MUGLA,yerkesik,1,0.01
2021,MUGLA,ula,4,0.09
2021,MUGLA,karabortlen,5,0.26
2021,MUGLA,yesilyurt,10,1.44
2021,NAZILLI,bozdogan,6,45.58
2021,NAZILLI,karacasu,3,324.31
2021,NAZILLI,karincalidag,5,1.56
2021,NAZILLI,kemerbaraji,6,14.72
2021,NAZILLI,kuyucak,5,0.88
2021,NAZILLI,nazilli,1,0.8
2021,NAZILLI,saricaova,8,12.64
2021,NAZILLI,yenice,2,0.6
2021,NAZILLI,yenipazar,4,2.26
2021,NAZILLI,bozbey,6,286.01
2021,NAZILLI,kartal,3,0.31
2021,NAZILLI,karlik,1,1
2021,NAZILLI,menderes,2,10.5
2021,NAZILLI,bozyaka,0,0
2021,YATAGAN,bagyaka,11,0.24
2021,YATAGAN,mentescayi,2,2086.7
2021,YATAGAN,turgut,4,1358.56
2021,YATAGAN,yatagan,2,0.11
2021,YATAGAN,kavak,2,0.08
2021,YATAGAN,bencik,5,2.11
2021,YILANLI,boyali,4,100.03
2021,YILANLI,goktepe,3,33.1
2021,YILANLI,yilanli,4,0.04
2021,YILANLI,muratlar,3,150.1
2021,YILANLI,senyayla,4,2523.26
2021,YILANLI,cakmak,1,0.01
2021,YILANLI,yorukoglu,0,0
2021,YILANLI,namnam,5,0.54
2021,YILANLI,cinar,2,0.02
2021,YILANLI,kizilkaya,6,130.92
2021,KAVAKLIDERE,belibol,0,0
2021,KAVAKLIDERE,gokcay,3,0.32
2021,KAVAKLIDERE,kavaklidere,3,5511.8
2021,KAVAKLIDERE,mentese,2,6.91
2021,KAVAKLIDERE,cayboyu,4,10.19
2021,DALAMAN,bahtiyar,4,0.62
2021,DALAMAN,caldere,5,1.51
2021,DALAMAN,dalaman,6,136.09
2021,DALAMAN,ortaca,1,0.7
2021,DALAMAN,kavacik,5,1.09
2021,DALAMAN,narli,2,0.11
2021,SEYDIKEMER,yapraktepe,2,0.16
2021,SEYDIKEMER,kemer,3,298.35
2021,SEYDIKEMER,seki,2,5.1
2021,SEYDIKEMER,saklikent,8,1.59
2021,SEYDIKEMER,esen,7,295.12
2021,SEYDIKEMER,akcay,4,0.51
2021,SEYDIKEMER,pasali,6,2.34
2021,SEYDIKEMER,karadere,9,45.39
2021,SEYDIKEMER,seydikemer,5,0.5
2022,AYDIN,akcaova,1,4.5
2022,AYDIN,aydin,0,0
2022,AYDIN,cine,0,0
2022,AYDIN,germencik,1,115.69
2022,AYDIN,karpuzlu,4,17.21
2022,AYDIN,kocarli,1,2.9
2022,AYDIN,kusadasi,2,0.03
2022,AYDIN,soke,3,97.71
2022,AYDIN,kosk,1,5.8
2022,AYDIN,madran,2,0.9
2022,AYDIN,didim,1,0
2022,FETHIYE,esenn,0,0
2022,FETHIYE,fethiye,3,0.03
2022,FETHIYE,gocek,9,2.68
2022,FETHIYE,guneydag,4,0.26
2022,FETHIYE,uzumlu,6,1.34
2022,FETHIYE,caldagi,0,0
2022,FETHIYE,karaculha,2,2.95
2022,KOYCEGIZ,agla,3,0.03
2022,KOYCEGIZ,akkopru,2,0
2022,KOYCEGIZ,beyobasi,4,0.09
2022,KOYCEGIZ,karacam,2,2.51
2022,KOYCEGIZ,koycegiz,2,4.19
2022,KOYCEGIZ,sultaniye,4,0.08
2022,KOYCEGIZ,balcilar,1,0.08
2022,KOYCEGIZ,cayhisar,1,0.01
2022,KOYCEGIZ,otmanlar,4,0.31
2022,MARMARIS,bayir,0,0
2022,MARMARIS,cetibeli,1,0
2022,MARMARIS,datca,1,540.68
2022,MARMARIS,hisaronu,1,4392.5
2022,MARMARIS,marmaris,7,464.06
2022,MARMARIS,emecik,4,0.27
2022,MARMARIS,karaca,5,0.12
2022,MILAS,bodrum,3,0.03
2022,MILAS,karacahisar,4,0.52
2022,MILAS,kayadere,6,1.44
2022,MILAS,milas,3,1.43
2022,MILAS,oren,5,0.3
2022,MILAS,saricay,1,0.3
2022,MILAS,selimiye,11,5.03
2022,MILAS,gürcamlar,3,2.49
2022,MILAS,mumcular,1,2
2022,MILAS,cökertme,3,0.27
2022,MILAS,guvercinlik,1,0.09
2022,MILAS,labranda,1,0.3
2022,MILAS,bafa,0,0
2022,MILAS,yali,1,0.01
2022,MUGLA,denizova,4,0.42
2022,MUGLA,gokova,4,74.34
2022,MUGLA,mugla,4,0.09
2022,MUGLA,yaras,0,0
2022,MUGLA,yerkesik,1,0.1
2022,MUGLA,ula,1,0.01
2022,MUGLA,karabortlen,6,1.15
2022,MUGLA,yesilyurt,11,0.25
2022,NAZILLI,bozdogan,4,0.71
2022,NAZILLI,karacasu,4,0.5
2022,NAZILLI,karincalidag,3,34.03
2022,NAZILLI,kemerbaraji,1,0.02
2022,NAZILLI,kuyucak,4,0.75
2022,NAZILLI,nazilli,5,2.38
2022,NAZILLI,saricaova,1,1.1
2022,NAZILLI,yenice,3,0.4
2022,NAZILLI,yenipazar,1,0.16
2022,NAZILLI,bozbey,2,1.05
2022,NAZILLI,kartal,1,0.03
2022,NAZILLI,karlik,1,0.1
2022,NAZILLI,menderes,0,0
2022,NAZILLI,bozyaka,0,0
2022,YATAGAN,bagyaka,2,0
2022,YATAGAN,mentescayi,0,0
2022,YATAGAN,turgut,10,2.26
2022,YATAGAN,yatagan,3,1.21
2022,YATAGAN,kavak,5,0.14
2022,YATAGAN,bencik,3,0.03
2022,YILANLI,boyali,3,0.52
2022,YILANLI,goktepe,0,0
2022,YILANLI,yilanli,0,0
2022,YILANLI,muratlar,0,0
2022,YILANLI,senyayla,2,0.38
2022,YILANLI,cakmak,0,0
2022,YILANLI,yorukoglu,0,0
2022,YILANLI,namnam,1,0.01
2022,YILANLI,cinar,0,0
2022,YILANLI,kizilkaya,0,0
2022,KAVAKLIDERE,belibol,1,0
2022,KAVAKLIDERE,gokcay,2,0.32
2022,KAVAKLIDERE,kavaklidere,0,0
2022,KAVAKLIDERE,mentese,0,0
2022,KAVAKLIDERE,cayboyu,1,0.2
2022,DALAMAN,bahtiyar,5,0.43
2022,DALAMAN,caldere,4,0.22
2022,DALAMAN,dalaman,15,3.16
2022,DALAMAN,ortaca,11,3.96
2022,DALAMAN,kavacik,5,0.53
2022,DALAMAN,narli,2,0.71
2022,SEYDIKEMER,yapraktepe,1,0.9
2022,SEYDIKEMER,kemer,3,0.03
2022,SEYDIKEMER,seki,0,0
2022,SEYDIKEMER,saklikent,3,0.71
2022,SEYDIKEMER,esen,1,0.04
2022,SEYDIKEMER,akcay,2,0.51
2022,SEYDIKEMER,pasali,2,0.01
2022,SEYDIKEMER,karadere,5,1.54
2022,SEYDIKEMER,seydikemer,3,2.43
2023,AYDIN,akcaova,3,0.324
2023,AYDIN,aydin,3,0.525
2023,AYDIN,cine,2,0.751
2023,AYDIN,germencik,2,0.401
2023,AYDIN,karpuzlu,1,0.044
2023,AYDIN,kocarli,1,0.027
2023,AYDIN,kusadasi,4,1.06
2023,AYDIN,soke,3,8.159
2023,AYDIN,kosk,0,0
2023,AYDIN,madran,1,0.099
2023,AYDIN,didim,1,11.831
2023,FETHIYE,esenn,0,0
2023,FETHIYE,fethiye,5,0.08
2023,FETHIYE,gocek,12,1.705
2023,FETHIYE,guneydag,2,0.025
2023,FETHIYE,uzumlu,0,0
2023,FETHIYE,caldagi,7,0.082
2023,FETHIYE,karaculha,2,0.01
2023,KOYCEGIZ,agla,2,0.021
2023,KOYCEGIZ,akkopru,9,0.009
2023,KOYCEGIZ,beyobasi,3,0.126
2023,KOYCEGIZ,karacam,10,3.65
2023,KOYCEGIZ,koycegiz,1,0.02
2023,KOYCEGIZ,sultaniye,4,0.634
2023,KOYCEGIZ,balcilar,3,0.081
2023,KOYCEGIZ,cayhisar,0,0
2023,KOYCEGIZ,otmanlar,3,1.31
2023,MARMARIS,bayir,2,0.055
2023,MARMARIS,cetibeli,4,0.054
2023,MARMARIS,datca,2,0.21
2023,MARMARIS,hisaronu,5,3.955
2023,MARMARIS,marmaris,7,3.37
2023,MARMARIS,emecik,0,0
2023,MARMARIS,karaca,7,3.29
2023,MILAS,bodrum,2,1.501
2023,MILAS,karacahisar,5,13.687
2023,MILAS,kayadere,5,0.416
2023,MILAS,milas,4,0.233
2023,MILAS,oren,8,18.083
2023,MILAS,saricay,5,0.203
2023,MILAS,selimiye,3,0.33
2023,MILAS,gürcamlar,0,0
2023,MILAS,mumcular,0,0
2023,MILAS,cökertme,4,0.946
2023,MILAS,guvercinlik,8,274.799
2023,MILAS,labranda,0,
2023,MILAS,bafa,2,0.251
2023,MILAS,yali,1,0.01
2023,MUGLA,denizova,0,0
2023,MUGLA,gokova,7,0.202
2023,MUGLA,mugla,1,0.32
2023,MUGLA,yaras,1,0.1
2023,MUGLA,yerkesik,2,2.02
2023,MUGLA,ula,1,1
2023,MUGLA,karabortlen,2,0.072
2023,MUGLA,yesilyurt,3,0.646
2023,NAZILLI,bozdogan,4,3.407
2023,NAZILLI,karacasu,4,0.3
2023,NAZILLI,karincalidag,4,1.707
2023,NAZILLI,kemerbaraji,4,0.561
2023,NAZILLI,kuyucak,3,0.761
2023,NAZILLI,nazilli,0,0
2023,NAZILLI,saricaova,2,0.52
2023,NAZILLI,yenice,7,0.53
2023,NAZILLI,yenipazar,1,0.4
2023,NAZILLI,bozbey,2,1.968
2023,NAZILLI,kartal,2,0.41
2023,NAZILLI,karlik,0,0
2023,NAZILLI,menderes,4,1.01
2023,NAZILLI,bozyaka,1,0.01
2023,YATAGAN,bagyaka,2,0.02
2023,YATAGAN,mentescayi,2,0.02
2023,YATAGAN,turgut,6,1.551
2023,YATAGAN,yatagan,4,0.223
2023,YATAGAN,kavak,4,0.031
2023,YATAGAN,bencik,4,7.21
2023,YILANLI,boyali,4,0.04
2023,YILANLI,goktepe,3,0.03
2023,YILANLI,yilanli,0,0
2023,YILANLI,muratlar,5,0.19
2023,YILANLI,senyayla,3,0.03
2023,YILANLI,cakmak,1,0.01
2023,YILANLI,yorukoglu,0,0
2023,YILANLI,namnam,3,0.04
2023,YILANLI,cinar,6,0.64
2023,YILANLI,kizilkaya,3,1.11
2023,KAVAKLIDERE,belibol,1,1
2023,KAVAKLIDERE,gokcay,4,0.26
2023,KAVAKLIDERE,kavaklidere,2,0.02
2023,KAVAKLIDERE,mentese,2,0.03
2023,KAVAKLIDERE,cayboyu,3,0.07
2023,DALAMAN,bahtiyar,5,0.18
2023,DALAMAN,caldere,10,0.96
2023,DALAMAN,dalaman,6,0.44
2023,DALAMAN,ortaca,9,5.05
2023,DALAMAN,kavacik,1,0.01
2023,DALAMAN,narli,2,0.04
2023,SEYDIKEMER,yapraktepe,2,0.06
2023,SEYDIKEMER,kemer,0,0
2023,SEYDIKEMER,seki,0,0
2023,SEYDIKEMER,saklikent,2,0.02
2023,SEYDIKEMER,esen,2,12.81
2023,SEYDIKEMER,akcay,2,0.12
2023,SEYDIKEMER,pasali,2,0.2
2023,SEYDIKEMER,karadere,2,4.4
2023,SEYDIKEMER,seydikemer,3,0.09
